student_id,question_id,topic,difficulty,response_time_sec,attempts,is_correct,hint_used,click_count,session_time_sec,time_between_actions,error_type,label_memory,label_attention,label_number_sense,label_processing_speed
S001,Q001,Counting,Easy,2.8,1,true,false,4,47.0,0.4,none,Medium,High,High,Moderate
S001,Q002,Addition,Easy,10.9,1,true,false,1,67.5,5.1,none,Medium,High,High,Moderate
S001,Q003,Number Comparison,Easy,11.7,1,true,false,2,87.6,3.5,none,Medium,High,High,Moderate
S001,Q004,Subtraction,Easy,10.3,1,true,false,4,104.0,1.7,none,Medium,High,High,Moderate
S001,Q005,Counting,Easy,8.4,1,true,false,4,119.9,1.6,none,Medium,High,High,Moderate
S001,Q006,Addition,Medium,34.9,2,false,false,10,165.6,2.7,calculation,Medium,High,High,Moderate
S001,Q007,Subtraction,Medium,16.7,1,true,true,10,193.3,1.6,none,Medium,High,High,Moderate
S001,Q008,Number Comparison,Medium,4.8,2,false,false,4,208.8,1.1,careless,Medium,High,High,Moderate
S001,Q009,Counting,Medium,13.2,1,true,false,1,230.1,6.4,none,Medium,High,High,Moderate
S001,Q010,Addition,Medium,18.7,2,false,false,4,257.1,3.5,conceptual,Medium,High,High,Moderate
S001,Q011,Subtraction,Medium,13.3,2,true,false,6,278.5,1.8,none,Medium,High,High,Moderate
S001,Q012,Number Comparison,Medium,18.2,1,false,false,4,300,3.5,conceptual,Medium,High,High,Moderate
S001,Q013,Addition,Hard,20.3,1,true,false,6,300,2.7,none,Medium,High,High,Moderate
S001,Q014,Subtraction,Hard,24.5,1,true,false,7,300,3.1,none,Medium,High,High,Moderate
S001,Q015,Number Comparison,Hard,21.6,1,true,false,5,300,4.0,none,Medium,High,High,Moderate
S001,Q016,Counting,Medium,11.6,1,true,false,2,300,3.9,none,Medium,High,High,Moderate
S001,Q017,Addition,Hard,19.8,2,true,false,6,300,2.5,none,Medium,High,High,Moderate
S001,Q018,Subtraction,Hard,24.8,1,true,true,5,300,3.5,none,Medium,High,High,Moderate
S001,Q019,Number Comparison,Hard,22.1,2,false,true,9,300,1.6,careless,Medium,High,High,Moderate
S001,Q020,Counting,Hard,27.9,1,true,false,5,300,5.1,none,Medium,High,High,Moderate
S002,Q001,Counting,Easy,2.8,1,true,false,2,45.9,0.6,none,High,High,High,Fast
S002,Q002,Addition,Easy,4.5,2,true,false,6,56.1,0.5,none,High,High,High,Fast
S002,Q003,Number Comparison,Easy,2.8,1,true,false,3,66.6,1.2,none,High,High,High,Fast
S002,Q004,Subtraction,Easy,4.1,1,true,false,1,82.2,1.9,none,High,High,High,Fast
S002,Q005,Counting,Easy,2.8,1,true,false,1,95.3,1.5,none,High,High,High,Fast
S002,Q006,Addition,Medium,12.0,1,true,false,4,118.5,2.2,none,High,High,High,Fast
S002,Q007,Subtraction,Medium,14.4,1,false,false,4,141.3,2.6,calculation,High,High,High,Fast
S002,Q008,Number Comparison,Medium,9.1,1,true,false,6,155.0,1.2,none,High,High,High,Fast
S002,Q009,Counting,Medium,6.9,1,true,false,5,166.8,1.0,none,High,High,High,Fast
S002,Q010,Addition,Medium,8.1,2,true,false,5,184.7,0.8,none,High,High,High,Fast
S002,Q011,Subtraction,Medium,11.6,1,true,false,5,205.7,1.9,none,High,High,High,Fast
S002,Q012,Number Comparison,Medium,12.2,1,true,false,4,227.3,2.3,none,High,High,High,Fast
S002,Q013,Addition,Hard,22.9,1,true,false,6,256.1,3.0,none,High,High,High,Fast
S002,Q014,Subtraction,Hard,26.9,1,false,true,9,293.8,2.5,unknown,High,High,High,Fast
S002,Q015,Number Comparison,Hard,16.9,1,true,true,9,300,1.7,none,High,High,High,Fast
S002,Q016,Counting,Medium,14.7,4,false,false,10,300,1.5,careless,High,High,High,Fast
S002,Q017,Addition,Hard,23.5,2,false,false,7,300,2.8,unknown,High,High,High,Fast
S002,Q018,Subtraction,Hard,21.9,1,true,false,3,300,5.4,none,High,High,High,Fast
S002,Q019,Number Comparison,Hard,21.8,2,false,true,11,300,1.4,calculation,High,High,High,Fast
S002,Q020,Counting,Hard,23.1,3,false,false,8,300,1.7,careless,High,High,High,Fast
S003,Q001,Counting,Easy,8.6,1,true,true,6,35.0,1.3,none,Medium,Medium,Low,Moderate
S003,Q002,Addition,Easy,38.5,1,false,true,8,85.8,4.2,calculation,Medium,Medium,Low,Moderate
S003,Q003,Number Comparison,Easy,14.5,1,true,false,2,108.5,5.3,none,Medium,Medium,Low,Moderate
S003,Q004,Subtraction,Easy,9.2,1,true,true,6,134.3,1.4,none,Medium,Medium,Low,Moderate
S003,Q005,Counting,Easy,15.9,3,false,false,9,158.5,1.9,conceptual,Medium,Medium,Low,Moderate
S003,Q006,Addition,Medium,36.4,1,true,false,9,203.5,3.9,none,Medium,Medium,Low,Moderate
S003,Q007,Subtraction,Medium,20.7,1,false,false,6,231.1,3.0,calculation,Medium,Medium,Low,Moderate
S003,Q008,Number Comparison,Medium,22.9,1,true,false,3,262.8,6.3,none,Medium,Medium,Low,Moderate
S003,Q009,Counting,Medium,11.5,1,true,false,5,281.5,1.9,none,Medium,Medium,Low,Moderate
S003,Q010,Addition,Medium,27.0,2,false,false,6,300,3.5,calculation,Medium,Medium,Low,Moderate
S003,Q011,Subtraction,Medium,22.1,2,false,false,6,300,3.3,conceptual,Medium,Medium,Low,Moderate
S003,Q012,Number Comparison,Medium,18.2,1,false,false,6,300,3.1,conceptual,Medium,Medium,Low,Moderate
S003,Q013,Addition,Hard,35.7,1,false,false,5,300,6.1,calculation,Medium,Medium,Low,Moderate
S003,Q014,Subtraction,Hard,33.1,1,true,true,10,300,3.1,none,Medium,Medium,Low,Moderate
S003,Q015,Number Comparison,Hard,26.3,1,true,false,10,300,2.4,none,Medium,Medium,Low,Moderate
S003,Q016,Counting,Medium,20.7,2,true,false,6,300,2.3,none,Medium,Medium,Low,Moderate
S004,Q001,Counting,Easy,16.3,2,true,false,6,53.4,2.6,none,Low,Low,Medium,Moderate
S004,Q002,Addition,Easy,12.9,1,false,true,8,79.6,2.2,conceptual,Low,Low,Medium,Moderate
S004,Q003,Number Comparison,Easy,33.2,3,false,true,16,124.0,2.1,conceptual,Low,Low,Medium,Moderate
S004,Q004,Subtraction,Easy,20.8,2,false,false,5,150.1,3.5,calculation,Low,Low,Medium,Moderate
S004,Q005,Counting,Easy,13.6,1,true,false,3,173.4,3.6,none,Low,Low,Medium,Moderate
S004,Q006,Addition,Medium,28.3,2,false,false,8,205.9,3.3,unknown,Low,Low,Medium,Moderate
S004,Q007,Subtraction,Medium,3.1,2,false,false,5,215.8,1.0,careless,Low,Low,Medium,Moderate
S004,Q008,Number Comparison,Medium,19.7,1,true,false,5,241.5,3.6,none,Low,Low,Medium,Moderate
S004,Q009,Counting,Medium,25.2,2,false,false,7,278.4,3.5,unknown,Low,Low,Medium,Moderate
S004,Q010,Addition,Medium,28.8,1,false,false,7,300,3.9,calculation,Low,Low,Medium,Moderate
S004,Q011,Subtraction,Medium,24.6,1,true,false,5,300,4.5,none,Low,Low,Medium,Moderate
S004,Q012,Number Comparison,Medium,29.1,2,false,false,6,300,3.8,conceptual,Low,Low,Medium,Moderate
S004,Q013,Addition,Hard,27.8,1,true,false,6,300,4.5,none,Low,Low,Medium,Moderate
S004,Q014,Subtraction,Hard,5.7,1,false,true,5,300,0.6,careless,Low,Low,Medium,Moderate
S004,Q015,Number Comparison,Hard,4.6,2,false,true,6,300,0.9,careless,Low,Low,Medium,Moderate
S004,Q016,Counting,Medium,3.7,2,false,true,7,300,1.0,careless,Low,Low,Medium,Moderate
S004,Q017,Addition,Hard,34.1,2,false,true,12,300,2.8,careless,Low,Low,Medium,Moderate
S004,Q018,Subtraction,Hard,31.6,3,false,true,14,300,2.7,careless,Low,Low,Medium,Moderate
S004,Q019,Number Comparison,Hard,32.2,3,false,true,12,300,1.9,unknown,Low,Low,Medium,Moderate
S005,Q001,Counting,Easy,14.9,5,false,false,8,41.8,1.4,careless,Low,Low,Low,Slow
S005,Q002,Addition,Easy,31.8,5,false,true,12,87.5,2.4,calculation,Low,Low,Low,Slow
S005,Q003,Number Comparison,Easy,20.0,2,false,false,8,117.0,2.9,unknown,Low,Low,Low,Slow
S005,Q004,Subtraction,Easy,21.4,2,false,true,9,152.8,3.0,conceptual,Low,Low,Low,Slow
S005,Q005,Counting,Easy,11.3,3,false,true,11,174.4,1.1,unknown,Low,Low,Low,Slow
S005,Q006,Addition,Medium,4.0,3,false,true,10,196.2,0.9,careless,Low,Low,Low,Slow
S005,Q007,Subtraction,Medium,28.6,2,false,true,11,237.1,2.1,conceptual,Low,Low,Low,Slow
S005,Q008,Number Comparison,Medium,34.7,2,false,false,10,279.9,3.5,conceptual,Low,Low,Low,Slow
S005,Q009,Counting,Medium,23.4,1,true,false,7,300,3.7,none,Low,Low,Low,Slow
S005,Q010,Addition,Medium,31.4,1,true,false,5,300,5.1,none,Low,Low,Low,Slow
S005,Q011,Subtraction,Medium,33.8,1,false,true,7,300,3.8,unknown,Low,Low,Low,Slow
S005,Q012,Number Comparison,Medium,27.1,4,false,false,12,300,1.9,conceptual,Low,Low,Low,Slow
S006,Q001,Counting,Easy,10.2,2,true,false,4,49.4,2.0,none,Low,Medium,Medium,Slow
S006,Q002,Addition,Easy,12.9,1,true,false,6,69.9,1.9,none,Low,Medium,Medium,Slow
S006,Q003,Number Comparison,Easy,17.6,3,false,true,9,103.4,1.4,conceptual,Low,Medium,Medium,Slow
S006,Q004,Subtraction,Easy,14.2,4,false,true,13,134.4,0.7,calculation,Low,Medium,Medium,Slow
S006,Q005,Counting,Easy,10.9,2,true,false,5,150.9,1.7,none,Low,Medium,Medium,Slow
S006,Q006,Addition,Medium,23.4,2,false,true,8,184.3,2.6,calculation,Low,Medium,Medium,Slow
S006,Q007,Subtraction,Medium,22.7,1,true,false,2,215.9,7.5,none,Low,Medium,Medium,Slow
S006,Q008,Number Comparison,Medium,21.7,2,false,true,8,249.3,1.8,conceptual,Low,Medium,Medium,Slow
S006,Q009,Counting,Medium,22.2,2,false,true,8,287.8,2.3,conceptual,Low,Medium,Medium,Slow
S006,Q010,Addition,Medium,22.8,2,false,false,6,300,2.6,conceptual,Low,Medium,Medium,Slow
S006,Q011,Subtraction,Medium,20.9,2,false,false,1,300,7.3,calculation,Low,Medium,Medium,Slow
S006,Q012,Number Comparison,Medium,20.7,1,true,false,1,300,7.8,none,Low,Medium,Medium,Slow
S006,Q013,Addition,Hard,31.6,2,false,true,11,300,2.3,unknown,Low,Medium,Medium,Slow
S006,Q014,Subtraction,Hard,4.8,2,false,false,6,300,0.8,careless,Low,Medium,Medium,Slow
S006,Q015,Number Comparison,Hard,27.4,5,false,false,10,300,1.5,conceptual,Low,Medium,Medium,Slow
S006,Q016,Counting,Medium,17.5,2,false,true,9,300,1.7,calculation,Low,Medium,Medium,Slow
S006,Q017,Addition,Hard,36.8,4,false,true,13,300,1.9,calculation,Low,Medium,Medium,Slow
S006,Q018,Subtraction,Hard,36.8,1,false,false,6,300,5.7,calculation,Low,Medium,Medium,Slow
S007,Q001,Counting,Easy,11.7,1,true,false,2,45.9,4.1,none,High,High,High,Moderate
S007,Q002,Addition,Easy,15.0,2,true,false,5,68.7,2.0,none,High,High,High,Moderate
S007,Q003,Number Comparison,Easy,9.0,2,true,false,4,83.9,1.6,none,High,High,High,Moderate
S007,Q004,Subtraction,Easy,14.3,4,false,true,12,110.4,0.9,calculation,High,High,High,Moderate
S007,Q005,Counting,Easy,6.1,1,true,false,2,121.9,2.0,none,High,High,High,Moderate
S007,Q006,Addition,Medium,17.2,1,true,false,1,149.2,7.8,none,High,High,High,Moderate
S007,Q007,Subtraction,Medium,24.1,1,false,false,5,179.1,3.7,calculation,High,High,High,Moderate
S007,Q008,Number Comparison,Medium,21.0,1,true,false,1,205.6,7.8,none,High,High,High,Moderate
S007,Q009,Counting,Medium,21.8,3,false,true,12,240.5,0.5,unknown,High,High,High,Moderate
S007,Q010,Addition,Medium,21.3,2,false,false,5,271.0,3.2,careless,High,High,High,Moderate
S007,Q011,Subtraction,Medium,18.5,1,true,false,5,297.4,2.8,none,High,High,High,Moderate
S007,Q012,Number Comparison,Medium,15.3,1,true,false,6,300,2.1,none,High,High,High,Moderate
S007,Q013,Addition,Hard,3.2,1,false,false,3,300,0.9,careless,High,High,High,Moderate
S007,Q014,Subtraction,Hard,18.8,1,true,false,5,300,2.5,none,High,High,High,Moderate
S007,Q015,Number Comparison,Hard,27.1,1,true,false,7,300,3.5,none,High,High,High,Moderate
S007,Q016,Counting,Medium,23.6,3,false,true,7,300,2.9,unknown,High,High,High,Moderate
